State,Max Demand Met (MW),Shortage (MW),Energy Met (MU),Schedule (MU),OD/UD (MW),Max OD (MW),Energy Shortage (MU),Date
Jharkhand,1238,0,24.8,19.2,-3.0,59,0.0,2023-03-07
West Bengal,6474,0,133.4,11.0,-3.3,159,0.0,2023-03-07
Sikkim,89,0,1.5,1.7,-0.2,47,0.0,2023-03-07
Arunachal Pradesh,152,0,2.3,2.2,0.0,49,0.0,2023-03-07
Assam,1468,0,26.9,20.9,0.2,141,0.0,2023-03-07
Manipur,191,0,2.7,2.7,0.0,24,0.0,2023-03-07
NER Meghalaya,341,23,5.6,3.0,1.0,71,1.1,2023-03-07
Mizoram,124,0,1.8,1.7,-0.2,5,0.0,2023-03-07
Nagaland,127,0,1.8,1.9,0.1,35,0.0,2023-03-07
Tripura,229,0,3.7,3.2,-0.4,72,0.0,2023-03-07
Central Sector,5607,13631,3028.0,980.0,425.0,23671,43.0,2023-03-07
State Sector,12960,12318,3691.0,2500.0,297.0,31766,57.0,2023-03-07
Total,18567,25949,6719.0,3480.0,722.0,55436,100.0,2023-03-07
Coal,553,1339,659.0,654.0,11.0,3216,75.0,2023-03-07
Lignite,27,21,70.0,0.0,0.0,118,3.0,2023-03-07
Hydro,116,20,61.0,27.0,7.0,232,5.0,2023-03-07
Nuclear,31,34,74.0,0.0,0.0,139,3.0,2023-03-07
 Naptha & Diesel,5,15,5.0,0.0,31.0,56,1.0,2023-03-07
 Biomass & Others),175,157,195.0,4.0,0.0,532,12.0,2023-03-07
Total,906,1586,1064.0,686.0,49.0,4291,100.0,2023-03-07
Punjab,5591,0,112.9,36.3,-1.3,81,0.12,2023-03-08
Haryana,4878,0,98.2,69.2,-0.9,148,0.0,2023-03-08
Rajasthan,10250,0,200.5,37.1,9.1,276,0.0,2023-03-08
Delhi,3360,0,64.0,62.9,-1.2,81,0.0,2023-03-08
Uttar Pradesh,16242,0,286.8,95.8,-3.8,492,0.0,2023-03-08
Uttarakhand,1746,0,33.6,20.8,0.1,107,0.0,2023-03-08
HP.,1588,0,28.3,16.3,0.0,67,0.1,2023-03-08
J&K(UT) & Ladakh(UT),2680,0,55.5,47.9,-1.3,110,1.01,2023-03-08
Chandigarh,161,0,2.9,3.0,0.1,15,0.0,2023-03-08
Railways NR ISTS,155,0,3.2,3.3,0.0,33,0.0,2023-03-08
Chhattisgarh,4862,0,111.3,57.7,-1.3,245,0.0,2023-03-08
Gujarat,16934,0,379.6,180.4,-0.8,618,0.0,2023-03-08
MP,10825,0,226.1,133.1,3.1,417,0.0,2023-03-08
WR Maharashtra,25611,0,540.7,184.9,0.7,919,0.0,2023-03-08
Goa,607,0,11.4,11.8,-0.9,35,0.49,2023-03-08
DNHDDPDCL,111,0,25.9,26.2,-0.3,26,0.0,2023-03-08
AMNSIL,854,0,18.4,5.7,0.6,251,0.0,2023-03-08
BALCO,514,0,12.3,12.4,0.1,4,0.0,2023-03-08
Andhra Pradesh,10824,0,211.5,76.6,-1.4,382,0.0,2023-03-08
Telangana,13590,0,279.1,147.2,2.2,670,0.0,2023-03-08
SR Karnataka,14268,0,271.0,124.6,-3.0,865,0.0,2023-03-08
Kerala,4111,0,82.6,68.7,-0.2,149,0.0,2023-03-08
Tamil Nadu,14905,0,333.9,199.8,-0.9,797,0.0,2023-03-08
Puducherry,393,0,9.2,9.3,-0.7,17,0.0,2023-03-08
Bihar,4906,0,93.2,85.1,3.1,306,0.15,2023-03-08
DVC,3370,0,70.8,42.2,-0.2,426,0.0,2023-03-08
Jharkhand,1308,0,28.8,21.2,-0.9,102,0.3,2023-03-08
ER Odisha,5697,0,109.4,50.1,-2.9,345,0.0,2023-03-08
West Bengal,6483,0,131.1,12.4,1.7,322,0.0,2023-03-08
Sikkim,7,0,1.2,1.3,0.1,39,0.0,2023-03-08
Arunachal Pradesh,134,0,2.3,2.8,-0.6,30,0.0,2023-03-08
Assam,1327,0,23.2,17.2,-0.2,114,0.0,2023-03-08
Manipur,189,0,2.6,2.8,-0.2,25,0.0,2023-03-08
NER Meghalaya,329,33,5.2,3.3,0.4,64,1.13,2023-03-08
Mizoram,107,0,1.6,1.6,-0.3,14,0.0,2023-03-08
Nagaland,132,0,1.9,21.0,-0.2,12,0.0,2023-03-08
Central Sector,5477,13271,3528.0,1175.0,425.0,23876,42.0,2023-03-08
Total,18437,25186,8811.0,3885.0,758.0,57077,100.0,2023-03-08
Coal,543,1312,621.0,643.0,11.0,3131,74.0,2023-03-08
Lignite,26,21,68.0,0.0,0.0,115,3.0,2023-03-08
Hydro,119,19,58.0,29.0,11.0,235,6.0,2023-03-08
 Naptha & Diesel,7,12,5.0,0.0,31.0,55,1.0,2023-03-08
 Biomass & Others),200,148,201.0,4.0,1.0,554,13.0,2023-03-08
Total,924,1547,1023.0,676.0,54.0,4224,100.0,2023-03-08
Punjab,5823,0,113.9,41.1,-1.0,161,0.12,2023-03-09
Haryana,5683,0,114.2,80.2,-0.6,182,0.0,2023-03-09
Rajasthan,10868,0,212.3,35.3,-6.1,164,0.0,2023-03-09
Delhi,3588,0,70.1,70.1,-15.0,125,0.0,2023-03-09
NR UP,17078,0,303.6,93.4,-0.4,439,0.15,2023-03-09
Uttarakhand,1905,0,36.8,22.7,0.6,179,0.29,2023-03-09
HP,1657,28,29.5,18.5,1.2,20,1.23,2023-03-09
S&K(UT) & Ladakh(UT),2867,0,56.8,47.7,-0.7,99,0.0,2023-03-09
Chandigarh,180,0,3.3,3.6,-0.3,23,0.0,2023-03-09
Railways NR ISTS,160,0,3.3,3.2,0.1,19,0.0,2023-03-09
Chhattisgarh,5081,0,116.4,61.2,0.2,191,0.0,2023-03-09
Gujarat,18545,0,403.6,183.5,-1.1,787,0.0,2023-03-09
MP,11070,0,234.7,133.4,22.2,674,0.0,2023-03-09
WR Maharashtra,27010,0,567.8,186.6,-1.0,781,0.0,2023-03-09
Goa,653,0,13.9,13.2,0.2,41,0.0,2023-03-09
DNHDDPDCL,1196,0,27.8,27.8,0.0,93,0.0,2023-03-09
AMNSIL,798,0,17.6,5.4,0.1,261,0.0,2023-03-09
BALCO,514,0,12.3,12.2,0.1,510,0.0,2023-03-09
Andhra Pradesh,10838,0,219.2,715.0,-0.1,548,0.0,2023-03-09
Telangana,14499,0,285.5,170.0,-0.2,720,0.0,2023-03-09
Kerala,4296,0,89.1,73.3,-0.3,140,0.0,2023-03-09
Tamil Nadu,17137,0,357.4,216.0,-1.8,441,0.0,2023-03-09
Puducherry,436,0,9.8,9.5,-0.4,20,0.0,2023-03-09
Bihar,5207,291,95.3,84.2,-0.5,406,1.51,2023-03-09
DVC,3726,0,76.0,47.5,-0.3,240,0.0,2023-03-09
Jharkhand,1338,7,29.5,21.5,-0.5,155,1.25,2023-03-09
ER Odisha,5695,0,106.5,46.3,-1.7,346,0.0,2023-03-09
West Bengal,72,0,156.0,25.2,2.8,183,0.0,2023-03-09
Sikkim,105,0,15.0,15.0,-0.1,60,0.0,2023-03-09
Arunachal Pradesh,164,0,2.6,2.6,-0.2,37,0.0,2023-03-09
Assam,1490,0,23.8,18.1,-0.1,84,0.0,2023-03-09
Manipur,192,0,2.7,2.8,-0.1,20,0.0,2023-03-09
NER Meghalaya,304,53,4.8,3.4,0.0,35,1.42,2023-03-09
Mizoram,122,0,1.7,1.7,-0.2,12,0.0,2023-03-09
Nagaland,133,0,241.0,241.0,-0.1,21,0.0,2023-03-09
Tripura,253,0,3.6,3.2,0.1,25,0.0,2023-03-09
Central Sector,6037,13521,3028.0,1175.0,534.0,24294,42.0,2023-03-09
Total,19492,26146,8039.0,3285.0,867.0,57829,100.0,2023-03-09
Coal,566,1379,654.0,680.0,13.0,3293,74.0,2023-03-09
Lignite,25,21,2.0,0.0,0.0,118,3.0,2023-03-09
Nuclear,30,34,70.0,0.0,0.0,134,3.0,2023-03-09
 Naptha & Diesel,7,15,6.0,0.0,31.0,59,1.0,2023-03-09
 Biomass & Others),207,177,188.0,3.0,1.0,575,13.0,2023-03-09
Total,957,1660,1064.0,718.0,56.0,4455,100.0,2023-03-09
Punjab,6011,0,121.8,45.1,-0.9,238,1.15,2023-03-10
Haryana,6095,0,118.1,84.5,-0.2,140,0.0,2023-03-10
Rajasthan,10565,0,210.4,42.5,5.7,15,0.0,2023-03-10
Delhi,3550,0,70.6,69.7,15.0,106,0.0,2023-03-10
Uttar Pradesh,17216,17,307.3,96.3,0.5,528,0.2,2023-03-10
Uttarakhand,1932,0,38.1,24.1,0.3,90,0.18,2023-03-10
HP.,1690,0,31.2,18.3,0.0,51,0.31,2023-03-10
J&K(UT) & Ladakh(UT),2856,0,56.5,47.9,-0.9,167,0.0,2023-03-10
Chandigarh,180,0,3.2,3.1,0.1,52,0.0,2023-03-10
Railways NR ISTS,158,0,3.3,3.1,0.1,18,0.0,2023-03-10
Chhattisgarh,5119,0,119.2,65.1,-0.5,219,0.0,2023-03-10
Gujarat,18841,0,415.7,200.0,2.4,968,0.0,2023-03-10
MP,11473,0,235.8,126.5,3.9,392,0.0,2023-03-10
WR Maharashtra,27708,0,580.9,190.9,1.2,866,0.0,2023-03-10
Goa,673,0,13.0,13.4,-0.8,50,0.0,2023-03-10
DNHDDPDCL,1233,0,28.4,29.0,-0.6,27,0.0,2023-03-10
BALCO,514,0,12.3,12.2,0.1,6,0.0,2023-03-10
Andhra Pradesh,11076,0,225.1,87.7,-0.4,667,0.0,2023-03-10
Telangana,13755,0,271.7,145.4,-11.0,571,0.0,2023-03-10
SR Karnataka,14850,0,288.6,136.2,1.3,1415,0.0,2023-03-10
Puducherry,428,0,9.7,9.6,-0.6,18,0.0,2023-03-10
Bihar,5614,0,103.9,92.3,-0.2,239,0.51,2023-03-10
Jharkhand,1345,0,31.1,22.6,0.2,101,1.55,2023-03-10
ER Odisha,5553,0,106.3,41.4,-1.2,294,0.0,2023-03-10
West Bengal,8505,0,183.1,42.6,-1.8,211,0.0,2023-03-10
Sikkim,102,0,1.6,1.7,0.1,44,0.0,2023-03-10
Arunachal Pradesh,159,0,2.8,2.5,0.2,50,0.0,2023-03-10
Assam,1536,0,26.1,20.4,-0.4,84,0.0,2023-03-10
Manipur,198,0,2.8,2.8,0.0,26,0.0,2023-03-10
NER Meghalaya,317,43,49.0,3.3,0.1,43,1.54,2023-03-10
Mizoram,118,0,1.8,1.6,-0.2,7,0.0,2023-03-10
Nagaland,124,0,2.1,21.0,0.0,13,0.0,2023-03-10
Tripura,198,0,4.1,3.7,0.2,40,0.0,2023-03-10
Central Sector,5537,12261,3238.0,1175.0,534.0,22744,43.0,2023-03-10
State Sector,12295,11966,3651.0,1490.0,341.0,29742,57.0,2023-03-10
Total,17832,24226,6889.0,2665.0,874.0,52486,100.0,2023-03-10
Coal,609,1410,698.0,706.0,16.0,3437,76.0,2023-03-10
Hydro,126,43,70.0,41.0,11.0,291,6.0,2023-03-10
Nuclear,30,34,70.0,0.0,0.0,134,3.0,2023-03-10
 Naptha & Diesel,8,16,7.0,0.0,31.0,62,1.0,2023-03-10
 Biomass & Others),173,156,174.0,3.0,1.0,507,1.0,2023-03-10
Total,971,1680,1089.0,749.0,58.0,4548,100.0,2023-03-10
Punjab,5885,0,119.8,43.6,-0.9,402,0.23,2023-03-11
Haryana,6413,0,124.6,89.5,-0.5,186,0.0,2023-03-11
Rajasthan,11118,0,220.0,44.9,-6.1,115,0.0,2023-03-11
Uttar Pradesh,18131,0,315.1,95.1,-1.4,543,0.0,2023-03-11
Uttarakhand,1983,0,38.0,24.2,0.4,148,0.07,2023-03-11
J&K(UT) & Ladakh(UT),2859,0,58.3,48.0,0.9,221,0.44,2023-03-11
Railways NR ISTS,153,0,3.2,3.2,0.1,12,0.0,2023-03-11
Chhattisgarh,5167,0,118.3,63.2,0.4,253,0.0,2023-03-11
Gujarat,18723,0,414.6,199.6,-2.0,1051,0.0,2023-03-11
WR Maharashtra,27434,0,560.1,198.2,3.3,1320,0.0,2023-03-11
Goa,686,0,13.8,13.7,-0.3,52,0.0,2023-03-11
DNHDDPDCL,1256,0,29.2,29.3,0.1,26,0.0,2023-03-11
AMNSIL,784,0,17.1,7.0,0.5,297,0.0,2023-03-11
BALCO,517,0,12.3,12.4,0.1,12,0.0,2023-03-11
Andhra Pradesh,11451,0,227.4,81.1,0.2,401,0.0,2023-03-11
Telangana,13792,0,270.3,132.6,0.8,588,0.0,2023-03-11
Kerala,4205,0,86.8,72.1,0.1,301,0.0,2023-03-11
Tamil Nadu,17743,0,370.3,221.8,-0.6,831,0.0,2023-03-11
Puducherry,427,0,9.6,9.8,-0.9,21,0.0,2023-03-11
Bihar,5461,0,101.5,90.3,-1.6,280,0.33,2023-03-11
DVC,3472,0,74.0,47.7,0.1,285,0.0,2023-03-11
Jharkhand,1381,57,31.4,22.5,0.3,125,1.44,2023-03-11
ER Odisha,5556,0,111.2,44.4,-1.4,460,0.0,2023-03-11
West Bengal,8590,0,190.0,46.6,-2.6,108,0.0,2023-03-11
Sikkim,102,0,1.6,1.5,0.1,50,0.0,2023-03-11
Arunachal Pradesh,156,0,2.6,2.6,0.1,57,0.0,2023-03-11
Assam,1570,0,27.1,20.1,-0.5,142,0.0,2023-03-11
Manipur,193,0,2.8,2.8,0.1,22,0.0,2023-03-11
NER Meghalaya,344,0,5.3,3.5,0.0,40,0.93,2023-03-11
Mizoram,118,0,1.8,1.6,-0.2,16,0.0,2023-03-11
Nagaland,128,0,2.1,2.2,0.1,16,0.0,2023-03-11
Tripura,255,0,4.3,4.1,0.0,33,0.0,2023-03-11
Central Sector,5537,13281,3238.0,1175.0,534.0,23764,46.0,2023-03-11
State Sector,10155,12451,4251.0,890.0,247.0,27993,54.0,2023-03-11
Total,15692,25731,7489.0,2065.0,781.0,51757,100.0,2023-03-11
Coal,627,1319,712.0,715.0,15.0,3388,74.0,2023-03-11
Lignite,22,22,69.0,0.0,0.0,113,2.0,2023-03-11
Nuclear,30,34,70.0,0.0,0.0,134,3.0,2023-03-11
 Naptha & Diesel,8,15,7.0,0.0,31.0,60,1.0,2023-03-11
 Biomass & Others),179,192,180.0,6.0,1.0,559,12.0,2023-03-11
Total,988,1651,1109.0,765.0,62.0,4575,100.0,2023-03-11
Punjab,5980,0,123.7,32.6,-1.3,84,0.0,2023-03-12
Haryana,6393,0,124.5,91.6,1.7,179,0.0,2023-03-12
Rajasthan,10866,0,219.4,27.0,5.6,158,0.0,2023-03-12
Delhi,3632,0,74.1,73.0,-1.3,103,0.0,2023-03-12
Uttarakhand,1921,0,38.4,26.2,0.3,182,0.01,2023-03-12
HP.,1738,0,31.9,19.9,0.1,89,0.61,2023-03-12
J&K(UT) & Ladakh(UT),2814,0,55.0,48.2,-2.6,137,0.98,2023-03-12
Chandigarh,182,0,3.1,3.1,0.0,30,0.0,2023-03-12
Railways NR ISTS,160,0,3.1,3.2,0.1,20,0.0,2023-03-12
Chhattisgarh,5184,0,120.4,65.6,0.4,245,0.0,2023-03-12
Gujarat,19185,0,421.0,200.5,-0.9,856,0.0,2023-03-12
MP,11462,0,240.4,142.9,-11.0,479,0.0,2023-03-12
WR Maharashtra,27429,0,555.6,197.9,1.3,915,0.0,2023-03-12
Goa,675,0,13.8,13.8,-0.4,71,0.0,2023-03-12
DNHDDPDCL,1222,0,28.1,28.6,-0.5,69,0.0,2023-03-12
AMNSIL,785,0,17.3,74.0,0.6,304,0.0,2023-03-12
BALCO,519,0,12.4,12.4,0.0,15,0.0,2023-03-12
Andhra Pradesh,11520,0,233.1,81.4,0.4,422,0.0,2023-03-12
Telangana,13849,0,270.0,138.2,0.8,793,0.0,2023-03-12
SR Karnataka,15681,0,294.9,136.7,2.4,1167,0.0,2023-03-12
Kerala,4195,0,89.1,68.2,-0.2,240,0.0,2023-03-12
Tamil Nadu,18252,0,378.4,227.9,2.8,833,0.0,2023-03-12
Puducherry,432,0,10.1,9.8,-0.4,18,0.0,2023-03-12
Bihar,5566,0,102.9,90.9,-1.4,274,0.57,2023-03-12
Jharkhand,1377,0,30.2,23.5,-0.3,148,2.61,2023-03-12
ER Odisha,5412,0,107.3,36.5,-2.8,319,0.0,2023-03-12
Sikkim,102,0,1.6,1.5,0.1,62,0.0,2023-03-12
Arunachal Pradesh,146,0,2.5,2.3,0.1,88,0.0,2023-03-12
Assam,1642,0,28.5,21.6,-0.2,83,0.0,2023-03-12
Manipur,198,0,2.7,2.7,0.0,26,0.0,2023-03-12
NER Meghalaya,302,50,5.1,3.1,0.1,61,1.34,2023-03-12
Mizoram,123,0,1.9,1.6,0.1,20,0.0,2023-03-12
Nagaland,126,0,2.1,21.0,0.0,18,0.0,2023-03-12
Tripura,260,0,44.0,4.6,0.6,48,0.0,2023-03-12
Central Sector,5247,12311,3448.0,980.0,534.0,22519,44.0,2023-03-12
State Sector,11030,11646,4576.0,1100.0,348.0,28699,56.0,2023-03-12
Total,16277,23956,8024.0,2080.0,882.0,51218,100.0,2023-03-12
Coal,643,1334,711.0,732.0,17.0,3436,75.0,2023-03-12
Lignite,23,22,68.0,0.0,0.0,112,2.0,2023-03-12
Hydro,119,67,80.0,38.0,10.0,314,7.0,2023-03-12
Nuclear,30,33,70.0,0.0,0.0,134,3.0,2023-03-12
 Naptha & Diesel,7,13,7.0,0.0,31.0,58,1.0,2023-03-12
 Biomass & Others),200,172,178.0,6.0,1.0,558,12.0,2023-03-12
Total,1021,1641,1113.0,716.0,59.0,4611,100.0,2023-03-12
Punjab,6142,0,129.3,34.8,1.2,88,0.47,2023-03-13
Haryana,6646,0,128.6,91.3,-0.5,181,0.0,2023-03-13
Rajasthan,11329,0,229.3,315.0,4.9,245,0.0,2023-03-13
Delhi,3766,0,74.0,73.3,-1.8,105,0.0,2023-03-13
NR UP,18745,0,329.3,97.0,-0.2,1413,0.0,2023-03-13
Uttarakhand,1952,0,39.3,27.5,0.3,108,0.19,2023-03-13
HP,1749,0,32.3,21.6,0.3,103,0.24,2023-03-13
S&K(UT) & Ladakh(UT),2875,0,56.3,49.1,-1.7,215,0.0,2023-03-13
Chandigarh,179,0,3.3,3.2,0.1,24,0.0,2023-03-13
Railways NR ISTS,149,0,3.2,3.2,0.0,18,0.0,2023-03-13
Chhattisgarh,5153,0,116.2,62.0,-1.1,278,0.0,2023-03-13
Gujarat,19488,0,428.5,213.5,11.0,826,0.0,2023-03-13
MP,11318,0,239.0,142.1,2.7,621,0.0,2023-03-13
WR Maharashtra,27349,0,522.8,190.1,2.3,663,0.0,2023-03-13
DNHDDPDCL,1252,0,28.9,29.2,-0.3,39,0.0,2023-03-13
AMNSIL,763,0,16.6,7.6,0.3,293,0.0,2023-03-13
BALCO,519,0,12.4,12.4,0.0,12,0.0,2023-03-13
Andhra Pradesh,11668,0,233.5,83.0,1.4,638,0.0,2023-03-13
Telangana,13560,0,265.3,135.5,-0.3,646,0.0,2023-03-13
SR Karnataka,14332,0,277.1,130.8,0.8,908,0.0,2023-03-13
Tamil Nadu,17848,0,379.0,243.3,11.0,741,0.0,2023-03-13
Puducherry,414,0,9.8,9.7,-0.6,9,0.0,2023-03-13
Bihar,5751,0,105.1,93.3,-15.0,263,0.82,2023-03-13
Jharkhand,1399,179,31.0,24.6,0.3,103,3.85,2023-03-13
ER Odisha,5350,0,108.5,36.9,-13.0,375,0.0,2023-03-13
West Bengal,9055,0,200.3,55.8,-0.9,189,0.0,2023-03-13
Sikkim,101,0,1.6,15.0,0.1,49,0.0,2023-03-13
Arunachal Pradesh,140,0,2.4,2.5,-0.2,35,0.0,2023-03-13
Assam,1687,0,30.2,23.1,0.1,88,0.0,2023-03-13
Mizoram,103,0,1.6,15.0,-0.3,3,0.0,2023-03-13
Nagaland,124,0,241.0,2.2,-0.1,21,0.0,2023-03-13
Tripura,273,0,5.3,4.8,0.5,60,0.0,2023-03-13
Central Sector,5037,12246,3648.0,1680.0,534.0,23144,44.0,2023-03-13
State Sector,11055,11061,5681.0,1670.0,348.0,29814,56.0,2023-03-13
Total,16092,23306,9329.0,3350.0,882.0,52958,100.0,2023-03-13
Coal,674,1384,698.0,733.0,17.0,3506,76.0,2023-03-13
Lignite,22,21,64.0,0.0,0.0,107,2.0,2023-03-13
Nuclear,30,33,69.0,0.0,0.0,133,3.0,2023-03-13
 Naptha & Diesel,7,14,7.0,0.0,31.0,58,1.0,2023-03-13
 Biomass & Others),207,160,173.0,7.0,1.0,548,12.0,2023-03-13
Total,1056,1661,1082.0,780.0,59.0,4639,100.0,2023-03-13
Punjab,6287,0,130.4,34.7,-11.0,446,0.0,2023-03-14
Haryana,6917,0,131.3,96.6,-0.2,297,0.0,2023-03-14
Rajasthan,11534,0,231.6,42.6,21.0,214,0.0,2023-03-14
Delhi,3544,0,71.8,71.3,1.7,62,0.0,2023-03-14
Uttar Pradesh,19117,0,337.2,100.0,0.0,316,0.0,2023-03-14
Uttarakhand,1903,0,37.6,26.7,0.4,133,1.13,2023-03-14
HP.,1670,0,31.6,20.2,0.3,81,0.37,2023-03-14
J&K(UT) & Ladakh(UT),2873,0,56.2,49.2,-1.4,96,0.25,2023-03-14
Chandigarh,182,0,3.3,3.4,0.0,28,0.0,2023-03-14
Railways NR ISTS,152,0,3.1,3.2,0.1,3,0.0,2023-03-14
Chhattisgarh,4843,0,110.2,56.5,-0.8,269,0.0,2023-03-14
Guiarat,19645,0,431.7,191.1,2.4,1219,0.0,2023-03-14
MP,11265,0,235.6,141.1,3.9,517,0.0,2023-03-14
WR Maharashtra,25620,0,543.7,177.3,-1.3,671,0.0,2023-03-14
Goa,697,0,14.9,14.2,0.2,63,0.0,2023-03-14
DNHDDPDCL,1263,0,29.2,29.4,-0.2,41,0.0,2023-03-14
AMNSIL,816,0,17.6,8.2,0.1,262,0.0,2023-03-14
BALCO,520,0,12.4,12.4,0.0,12,0.0,2023-03-14
Andhra Pradesh,11358,0,225.0,90.0,14.0,814,0.0,2023-03-14
Telangana,12710,0,254.2,120.6,11.0,673,0.0,2023-03-14
SR Karnataka,13826,0,274.6,126.4,-1.3,760,0.0,2023-03-14
Kerala,4330,0,87.9,63.8,-0.5,99,0.0,2023-03-14
Tamil Nadu,17731,0,378.8,239.4,11.0,521,0.0,2023-03-14
Puducherry,414,0,9.0,9.6,-0.6,24,0.0,2023-03-14
Bihar,5789,0,109.0,96.1,-0.8,250,0.51,2023-03-14
Jharkhand,1428,257,32.3,23.5,0.3,127,2.57,2023-03-14
ER Odisha,5534,0,107.8,42.7,15.0,389,0.0,2023-03-14
West Bengal,9482,0,204.3,62.9,-2.6,110,0.0,2023-03-14
Sikkim,100,0,1.5,1.4,0.1,41,0.0,2023-03-14
Arunachal Pradesh,155,0,2.5,2.4,0.1,47,0.0,2023-03-14
Assam,1718,0,31.2,24.2,0.4,138,0.0,2023-03-14
Manipur,213,0,2.7,2.6,0.0,40,0.0,2023-03-14
NER Meghalaya,295,55,5.2,3.1,0.1,35,1.45,2023-03-14
Mizoram,126,0,1.8,1.6,-0.3,10,0.0,2023-03-14
Nagaland,135,0,2.0,21.0,0.1,21,0.0,2023-03-14
Tripura,271,0,47.0,5.1,0.4,61,0.0,2023-03-14
Central Sector,4537,12606,3798.0,1775.0,534.0,23249,43.0,2023-03-14
State Sector,11330,11766,5721.0,1830.0,348.0,30994,57.0,2023-03-14
Total,15867,24371,9519.0,3605.0,882.0,54243,100.0,2023-03-14
Coal,685,1457,667.0,704.0,17.0,3530,77.0,2023-03-14
Lignite,25,20,65.0,0.0,0.0,110,2.0,2023-03-14
Hydro,113,31,70.0,41.0,10.0,266,6.0,2023-03-14
Nuclear,30,34,63.0,0.0,0.0,127,3.0,2023-03-14
 Naptha & Diesel,7,17,6.0,0.0,29.0,59,1.0,2023-03-14
 Biomass & Others),189,120,201.0,7.0,1.0,519,11.0,2023-03-14
Total,1049,1681,1071.0,753.0,57.0,4611,100.0,2023-03-14
Punjab,6066,0,123.2,34.0,1.7,142,0.35,2023-03-15
Rajasthan,11670,0,231.2,53.8,3.4,125,0.0,2023-03-15
Delhi,3409,0,70.7,69.9,1.7,78,0.0,2023-03-15
Uttar Pradesh,19078,0,336.9,106.7,0.1,667,0.01,2023-03-15
Uttarakhand,1864,0,36.4,25.4,0.3,127,0.26,2023-03-15
HP.,1562,0,29.5,18.0,0.1,43,0.0,2023-03-15
J&K(UT) & Ladakh(UT),2794,0,55.5,47.6,-0.9,180,0.54,2023-03-15
Chandigarh,169,0,3.1,3.1,0.0,20,0.0,2023-03-15
Chhattisgarh,5014,0,117.5,59.0,-0.6,179,0.0,2023-03-15
Gujarat,18934,0,420.8,194.8,2.4,1500,0.0,2023-03-15
WR Maharashtra,24808,0,534.1,177.2,-0.3,706,0.0,2023-03-15
Goa,678,0,14.3,13.4,0.4,44,0.0,2023-03-15
DNHDDPDCL,1220,0,28.2,28.5,-0.3,113,0.0,2023-03-15
AMNSIL,791,0,17.8,8.8,0.0,299,0.0,2023-03-15
Andhra Pradesh,11177,0,226.9,85.4,-1.6,633,0.0,2023-03-15
Telangana,12488,0,253.6,131.4,14.0,583,0.0,2023-03-15
SR Karnataka,13401,0,268.4,115.8,3.4,753,0.0,2023-03-15
Tamil Nadu,15616,0,347.9,222.0,0.7,805,0.0,2023-03-15
Puducherry,392,0,9.1,9.3,-0.9,4,0.0,2023-03-15
Bihar,5837,0,110.7,98.5,-0.8,252,0.36,2023-03-15
DVC,3560,0,75.8,47.1,0.0,312,0.0,2023-03-15
Jharkhand,1443,89,32.1,22.7,0.8,191,4.5,2023-03-15
West Bengal,8874,0,194.3,57.6,-2.6,132,0.0,2023-03-15
Arunachal Pradesh,152,0,2.6,2.3,0.2,58,0.0,2023-03-15
Assam,1682,0,30.6,23.0,0.7,143,0.0,2023-03-15
Manipur,175,0,2.5,2.6,-0.2,31,0.0,2023-03-15
NER Meghalaya,279,63,5.1,3.2,0.2,41,1.49,2023-03-15
Mizoram,103,0,17.0,1.5,-0.3,7,0.0,2023-03-15
Nagaland,134,0,2.0,21.0,0.1,21,0.0,2023-03-15
Tripura,278,0,44.0,5.3,0.3,52,0.0,2023-03-15
Central Sector,4037,12106,4298.0,1775.0,534.0,22749,44.0,2023-03-15
State Sector,11120,11048,5211.0,1230.0,348.0,28956,56.0,2023-03-15
Total,15157,23154,9509.0,3005.0,882.0,51705,100.0,2023-03-15
Coal,658,1454,644.0,687.0,15.0,3458,77.0,2023-03-15
Lignite,27,18,62.0,0.0,0.0,108,2.0,2023-03-15
Hydro,117,28,65.0,39.0,9.0,259,6.0,2023-03-15
Nuclear,30,34,70.0,0.0,0.0,134,3.0,2023-03-15
 Biomass & Others),181,119,198.0,4.0,1.0,503,1.0,2023-03-15
Total,1020,1665,1045.0,730.0,56.0,4516,100.0,2023-03-15
Punjab,6378,230,137.1,42.7,-1.4,105,0.23,2023-03-16
Haryana,6561,650,125.6,95.3,0.3,216,4.58,2023-03-16
Delhi,3812,0,71.5,71.2,21.0,128,0.0,2023-03-16
Uttar Pradesh,18977,0,344.9,101.9,-0.2,338,1.47,2023-03-16
Uttarakhand,1967,0,37.0,26.2,0.1,87,1.34,2023-03-16
HP.,1702,0,31.0,18.9,0.3,72,0.38,2023-03-16
J&K(UT) & Ladakh(UT),2753,0,55.1,46.1,0.1,182,2.09,2023-03-16
Chandigarh,192,0,3.6,3.6,0.0,37,0.0,2023-03-16
Railways NR ISTS,159,0,3.2,3.1,0.1,18,0.0,2023-03-16
Chhattisgarh,5264,0,120.9,59.9,-0.4,269,0.0,2023-03-16
Gujarat,20600,0,441.2,199.3,0.3,1499,0.0,2023-03-16
MP,11114,0,243.2,136.4,-2.2,495,0.0,2023-03-16
WR Maharashtra,26632,0,563.9,185.5,-0.5,1154,0.0,2023-03-16
Goa,739,0,14.8,14.3,0.0,63,0.0,2023-03-16
DNHDDPDCL,1225,0,28.5,29.0,-0.5,63,0.0,2023-03-16
