Source,NR,WR,SR,ER,NER,All India,% Share,Date
"Gas, Naptha & Diesel",12.0,15.0,9.0,0.0,30.0,67.0,2,2022-02-12
"RES (Wind, Solar, Biomass & Others)",122.0,90.0,169.0,5.0,0.0,387.0,10,2022-02-12
Total,916.0,1499.0,950.0,621.0,53.0,4038.0,100,2022-02-12
Total,16532.0,29470.0,15855.0,5546.0,471.0,67873.0,100,
Coal,654.0,1335.0,569.0,578.0,15.0,3151.0,77,2022-02-13
Lignite,25.0,13.0,45.0,0.0,0.0,83.0,2,2022-02-13
Hydro,111.0,42.0,98.0,28.0,8.0,287.0,7,2022-02-13
Nuclear,33.0,21.0,66.0,0.0,0.0,120.0,3,2022-02-13
"Gas, Naptha & Diesel",15.0,16.0,9.0,0.0,30.0,69.0,2,2022-02-13
"RES (Wind, Solar, Biomass & Others)",114.0,81.0,168.0,5.0,0.0,369.0,9,2022-02-13
Total,951.0,1508.0,954.0,611.0,53.0,4078.0,100,2022-02-13
Total,16952.0,28497.0,15225.0,7576.0,435.0,68684.0,100,
Coal,625.0,1328.0,566.0,574.0,15.0,3106.0,77,2022-02-14
Lignite,25.0,14.0,46.0,0.0,0.0,85.0,2,2022-02-14
Hydro,110.0,44.0,92.0,27.0,8.0,282.0,7,2022-02-14
Nuclear,33.0,21.0,66.0,0.0,0.0,120.0,3,2022-02-14
"Gas, Naptha & Diesel",15.0,15.0,9.0,0.0,29.0,69.0,2,2022-02-14
"RES (Wind, Solar, Biomass & Others)",122.0,87.0,180.0,5.0,0.0,394.0,10,2022-02-14
Total,930.0,1509.0,958.0,606.0,52.0,4055.0,100,2022-02-14
Total,17320.0,29767.0,14375.0,6866.0,435.0,68763.0,100,
Coal,622.0,1324.0,572.0,552.0,15.0,3085.0,76,2022-02-15
Lignite,22.0,13.0,45.0,0.0,0.0,80.0,2,2022-02-15
Hydro,113.0,47.0,95.0,23.0,8.0,286.0,7,2022-02-15
Nuclear,33.0,21.0,66.0,0.0,0.0,120.0,3,2022-02-15
"Gas, Naptha & Diesel",15.0,16.0,9.0,0.0,30.0,69.0,2,2022-02-15
Total,926.0,1539.0,985.0,580.0,53.0,4083.0,100,2022-02-15
Total,18047.0,30552.0,14585.0,5791.0,743.0,69718.0,100,
Coal,618.0,1295.0,568.0,555.0,14.0,3049.0,75,2022-02-16
Lignite,22.0,14.0,44.0,0.0,0.0,80.0,2,2022-02-16
Hydro,110.0,51.0,85.0,27.0,8.0,281.0,7,2022-02-16
Nuclear,33.0,21.0,66.0,0.0,0.0,119.0,3,2022-02-16
"Gas, Naptha & Diesel",15.0,16.0,10.0,0.0,27.0,68.0,2,2022-02-16
"RES (Wind, Solar, Biomass & Others)",124.0,131.0,196.0,5.0,0.0,457.0,1,2022-02-16
Total,922.0,1528.0,969.0,587.0,50.0,4055.0,100,2022-02-16
Total,18369.0,31162.0,14585.0,5541.0,743.0,70400.0,100,
Coal,578.0,1261.0,537.0,563.0,13.0,2953.0,75,2022-02-17
Lignite,25.0,15.0,43.0,0.0,0.0,83.0,2,2022-02-17
Hydro,110.0,34.0,84.0,25.0,8.0,262.0,7,2022-02-17
Nuclear,33.0,21.0,66.0,0.0,0.0,119.0,3,2022-02-17
"Gas, Naptha & Diesel",14.0,15.0,9.0,0.0,25.0,64.0,2,2022-02-17
Total,890.0,1471.0,917.0,593.0,46.0,3917.0,100,2022-02-17
Total,17974.0,31558.0,14260.0,5541.0,743.0,70076.0,100,
Coal,597.0,1275.0,583.0,585.0,15.0,3055.0,75,2022-02-18
Lignite,25.0,15.0,45.0,0.0,0.0,85.0,2,2022-02-18
Hydro,111.0,59.0,96.0,26.0,9.0,302.0,7,2022-02-18
Nuclear,33.0,20.0,66.0,0.0,0.0,119.0,3,2022-02-18
"Gas, Naptha & Diesel",14.0,12.0,9.0,0.0,25.0,60.0,1,2022-02-18
"RES (Wind, Solar, Biomass & Others)",135.0,130.0,164.0,5.0,0.0,435.0,1,2022-02-18
Total,916.0,1511.0,963.0,617.0,49.0,4056.0,100,2022-02-18
Total,17747.0,32028.0,15260.0,5331.0,380.0,70746.0,100,
Coal,598.0,1266.0,572.0,607.0,14.0,3057.0,74,2022-02-19
Lignite,26.0,15.0,45.0,0.0,0.0,87.0,2,2022-02-19
Hydro,114.0,56.0,107.0,26.0,9.0,312.0,8,2022-02-19
Nuclear,33.0,20.0,65.0,0.0,0.0,118.0,3,2022-02-19
"Gas, Naptha & Diesel",15.0,9.0,8.0,0.0,27.0,59.0,1,2022-02-19
"RES (Wind, Solar, Biomass & Others)",173.0,133.0,175.0,5.0,0.0,486.0,12,2022-02-19
Total,958.0,1500.0,972.0,638.0,50.0,4119.0,100,2022-02-19
Total,17302.0,32588.0,14510.0,5331.0,380.0,70111.0,100,
Coal,618.0,1266.0,582.0,608.0,15.0,3089.0,75,2022-02-20
Lignite,23.0,15.0,45.0,0.0,0.0,84.0,2,2022-02-20
Hydro,121.0,57.0,95.0,26.0,9.0,308.0,7,2022-02-20
Nuclear,32.0,30.0,65.0,0.0,0.0,127.0,3,2022-02-20
"Gas, Naptha & Diesel",16.0,10.0,1.0,0.0,29.0,63.0,2,2022-02-20
Total,932.0,1468.0,1019.0,639.0,53.0,4111.0,100,2022-02-20
Total,17534.0,31628.0,16530.0,5581.0,345.0,71617.0,100,
Coal,645.0,1291.0,596.0,601.0,15.0,3149.0,76,2022-02-21
Lignite,21.0,16.0,44.0,0.0,0.0,81.0,2,2022-02-21
Hydro,124.0,56.0,103.0,26.0,8.0,318.0,8,2022-02-21
Nuclear,32.0,33.0,66.0,0.0,0.0,131.0,3,2022-02-21
"Gas, Naptha & Diesel",15.0,10.0,7.0,0.0,29.0,61.0,1,2022-02-21
"RES (Wind, Solar, Biomass & Others)",116.0,84.0,199.0,5.0,0.0,405.0,10,2022-02-21
Total,954.0,1489.0,1014.0,632.0,53.0,4143.0,100,2022-02-21
Total,16006.0,29948.0,15440.0,5331.0,570.0,67295.0,100,
Coal,645.0,1309.0,575.0,597.0,14.0,3140.0,76,2022-02-22
Lignite,24.0,15.0,43.0,0.0,0.0,82.0,2,2022-02-22
Hydro,124.0,49.0,103.0,26.0,8.0,308.0,7,2022-02-22
Nuclear,33.0,33.0,66.0,0.0,0.0,132.0,3,2022-02-22
"Gas, Naptha & Diesel",16.0,10.0,6.0,0.0,29.0,62.0,1,2022-02-22
"RES (Wind, Solar, Biomass & Others)",126.0,86.0,211.0,5.0,0.0,428.0,10,2022-02-22
Total,967.0,1501.0,1004.0,628.0,51.0,4151.0,100,2022-02-22
Total,16655.0,30953.0,14640.0,6331.0,536.0,69115.0,100,
Coal,586.0,1300.0,564.0,593.0,9.0,3053.0,75,2022-02-23
Lignite,26.0,15.0,44.0,0.0,0.0,85.0,2,2022-02-23
Hydro,123.0,38.0,87.0,27.0,9.0,284.0,7,2022-02-23
Nuclear,33.0,33.0,66.0,0.0,0.0,131.0,3,2022-02-23
"Gas, Naptha & Diesel",15.0,14.0,1.0,0.0,28.0,64.0,2,2022-02-23
Total,926.0,1494.0,989.0,624.0,47.0,4079.0,100,2022-02-23
Total,17619.0,29953.0,14630.0,5971.0,286.0,68460.0,100,
Coal,566.0,1236.0,543.0,560.0,8.0,2913.0,73,2022-02-24
Hydro,125.0,40.0,75.0,24.0,8.0,272.0,7,2022-02-24
Nuclear,33.0,33.0,67.0,0.0,0.0,133.0,3,2022-02-24
"Gas, Naptha & Diesel",15.0,13.0,8.0,0.0,29.0,65.0,2,2022-02-24
"RES (Wind, Solar, Biomass & Others)",157.0,128.0,219.0,5.0,0.0,508.0,13,2022-02-24
Total,922.0,1460.0,955.0,589.0,45.0,3971.0,100,2022-02-24
Total,16624.0,29373.0,14670.0,6321.0,286.0,67275.0,100,
Coal,614.0,1305.0,564.0,579.0,13.0,3075.0,75,2022-02-25
Lignite,25.0,12.0,35.0,0.0,0.0,72.0,2,2022-02-25
Hydro,122.0,38.0,96.0,25.0,8.0,288.0,7,2022-02-25
Nuclear,33.0,33.0,69.0,0.0,0.0,135.0,3,2022-02-25
"Gas, Naptha & Diesel",15.0,13.0,8.0,0.0,29.0,64.0,2,2022-02-25
Total,948.0,1523.0,976.0,609.0,50.0,4105.0,100,2022-02-25
Total,16684.0,29423.0,15160.0,5901.0,286.0,67455.0,100,
Coal,639.0,1310.0,567.0,592.0,13.0,3121.0,76,2022-02-26
Lignite,25.0,13.0,35.0,0.0,0.0,73.0,2,2022-02-26
Hydro,123.0,37.0,97.0,24.0,8.0,289.0,7,2022-02-26
Nuclear,33.0,33.0,70.0,0.0,0.0,136.0,3,2022-02-26
"Gas, Naptha & Diesel",15.0,13.0,9.0,0.0,29.0,66.0,2,2022-02-26
"RES (Wind, Solar, Biomass & Others)",119.0,93.0,208.0,5.0,0.0,427.0,10,2022-02-26
Total,954.0,1500.0,986.0,621.0,50.0,4111.0,100,2022-02-26
Total,16834.0,31688.0,14950.0,5341.0,321.0,69135.0,100,
Coal,630.0,1281.0,547.0,585.0,14.0,3056.0,74,2022-02-27
Lignite,24.0,14.0,35.0,0.0,0.0,72.0,2,2022-02-27
Hydro,126.0,47.0,93.0,26.0,8.0,300.0,7,2022-02-27
Nuclear,33.0,33.0,70.0,0.0,0.0,136.0,3,2022-02-27
"Gas, Naptha & Diesel",15.0,13.0,9.0,0.0,30.0,67.0,2,2022-02-27
"RES (Wind, Solar, Biomass & Others)",130.0,114.0,237.0,5.0,0.0,487.0,12,2022-02-27
Total,958.0,1502.0,990.0,616.0,53.0,4119.0,100,2022-02-27
Total,16664.0,31323.0,15890.0,5661.0,321.0,69860.0,100,
Coal,627.0,1278.0,542.0,598.0,14.0,3059.0,74,2022-02-28
Lignite,22.0,15.0,34.0,0.0,0.0,71.0,2,2022-02-28
Hydro,128.0,42.0,89.0,26.0,9.0,294.0,7,2022-02-28
Nuclear,32.0,33.0,70.0,0.0,0.0,136.0,3,2022-02-28
"Gas, Naptha & Diesel",15.0,14.0,10.0,0.0,30.0,69.0,2,2022-02-28
"RES (Wind, Solar, Biomass & Others)",139.0,139.0,243.0,5.0,0.0,527.0,13,2022-02-28
Total,965.0,1522.0,987.0,630.0,53.0,4156.0,100,2022-02-28
Total,17319.0,32123.0,15450.0,4601.0,685.0,70178.0,100,
Coal,640.0,1289.0,560.0,605.0,15.0,3108.0,74,2022-03-01
Lignite,24.0,15.0,32.0,0.0,0.0,71.0,2,2022-03-01
Hydro,128.0,51.0,106.0,29.0,9.0,323.0,8,2022-03-01
Nuclear,33.0,33.0,63.0,0.0,0.0,129.0,3,2022-03-01
"Gas, Naptha & Diesel",15.0,14.0,9.0,0.0,27.0,65.0,2,2022-03-01
"RES (Wind, Solar, Biomass & Others)",132.0,143.0,213.0,6.0,0.0,494.0,12,2022-03-01
Total,971.0,1544.0,984.0,639.0,50.0,4189.0,100,2022-03-01
Total,17069.0,33213.0,15350.0,3841.0,401.0,69875.0,100,
Coal,639.0,1300.0,565.0,632.0,16.0,3151.0,75,2022-03-02
Lignite,25.0,16.0,30.0,0.0,0.0,71.0,2,2022-03-02
Hydro,132.0,51.0,104.0,28.0,9.0,324.0,8,2022-03-02
Nuclear,32.0,33.0,60.0,0.0,0.0,126.0,3,2022-03-02
"Gas, Naptha & Diesel",13.0,14.0,8.0,0.0,28.0,63.0,2,2022-03-02
Total,17559.0,31823.0,15560.0,4851.0,401.0,70195.0,100,2022-03-02
Coal,631.0,1282.0,542.0,626.0,16.0,3097.0,76,2022-03-03
Lignite,25.0,15.0,32.0,0.0,0.0,72.0,2,2022-03-03
Hydro,129.0,40.0,80.0,26.0,8.0,283.0,7,2022-03-03
Nuclear,31.0,33.0,67.0,0.0,0.0,131.0,3,2022-03-03
"Gas, Naptha & Diesel",11.0,13.0,9.0,0.0,29.0,63.0,2,2022-03-03
"RES (Wind, Solar, Biomass & Others)",110.0,95.0,206.0,6.0,0.0,417.0,10,2022-03-03
Total,937.0,1478.0,935.0,658.0,54.0,4063.0,100,2022-03-03
Total,16014.0,30133.0,16300.0,3591.0,551.0,66590.0,100,
Coal,640.0,1314.0,537.0,614.0,15.0,3120.0,75,2022-03-04
Lignite,25.0,15.0,33.0,0.0,0.0,74.0,2,2022-03-04
Hydro,132.0,45.0,100.0,31.0,9.0,317.0,8,2022-03-04
Nuclear,28.0,33.0,70.0,0.0,0.0,132.0,3,2022-03-04
"Gas, Naptha & Diesel",11.0,14.0,9.0,0.0,27.0,61.0,1,2022-03-04
Total,971.0,1525.0,952.0,651.0,51.0,4151.0,100,2022-03-04
Total,16916.0,32888.0,17045.0,3591.0,581.0,71021.0,100,
Coal,650.0,1323.0,540.0,625.0,15.0,3153.0,75,2022-03-05
Lignite,27.0,15.0,34.0,0.0,0.0,76.0,2,2022-03-05
Hydro,134.0,50.0,111.0,29.0,9.0,333.0,8,2022-03-05
Nuclear,28.0,33.0,70.0,0.0,0.0,132.0,3,2022-03-05
"Gas, Naptha & Diesel",11.0,14.0,8.0,0.0,27.0,60.0,1,2022-03-05
Total,996.0,1543.0,955.0,660.0,51.0,4205.0,100,2022-03-05
Total,15056.0,32358.0,15995.0,3521.0,581.0,67511.0,100,
Coal,687.0,1305.0,540.0,633.0,17.0,3182.0,75,2022-03-06
Lignite,27.0,15.0,34.0,0.0,0.0,77.0,2,2022-03-06
Hydro,134.0,46.0,118.0,31.0,10.0,338.0,8,2022-03-06
Nuclear,28.0,33.0,70.0,0.0,0.0,131.0,3,2022-03-06
"Gas, Naptha & Diesel",12.0,8.0,8.0,0.0,27.0,55.0,1,2022-03-06
Total,1020.0,1532.0,957.0,670.0,54.0,4234.0,100,2022-03-06
Total,15616.0,31618.0,14305.0,4081.0,581.0,66201.0,100,
Coal,683.0,1322.0,572.0,632.0,15.0,3224.0,76,2022-03-07
Lignite,25.0,15.0,37.0,0.0,0.0,77.0,2,2022-03-07
Nuclear,28.0,33.0,70.0,0.0,0.0,131.0,3,2022-03-07
"Gas, Naptha & Diesel",11.0,12.0,8.0,0.0,28.0,60.0,1,2022-03-07
"RES (Wind, Solar, Biomass & Others)",127.0,111.0,172.0,5.0,0.0,416.0,10,2022-03-07
Total,1009.0,1537.0,973.0,671.0,54.0,4244.0,100,2022-03-07
Total,16276.0,30723.0,13515.0,4481.0,581.0,65576.0,100,
Coal,671.0,1349.0,591.0,629.0,17.0,3257.0,76,2022-03-08
Lignite,25.0,15.0,38.0,0.0,0.0,78.0,2,2022-03-08
Hydro,141.0,45.0,111.0,31.0,11.0,340.0,8,2022-03-08
Nuclear,28.0,33.0,70.0,0.0,0.0,131.0,3,2022-03-08
"Gas, Naptha & Diesel",11.0,12.0,9.0,0.0,28.0,60.0,1,2022-03-08
"RES (Wind, Solar, Biomass & Others)",128.0,100.0,179.0,5.0,0.0,414.0,10,2022-03-08
Total,17511.0,30729.0,14645.0,4481.0,581.0,67946.0,100,2022-03-08
Coal,652.0,1366.0,587.0,624.0,16.0,3244.0,76,2022-03-09
Lignite,27.0,16.0,36.0,0.0,0.0,78.0,2,2022-03-09
Hydro,146.0,43.0,109.0,32.0,12.0,342.0,8,2022-03-09
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-09
"Gas, Naptha & Diesel",10.0,14.0,8.0,0.0,29.0,61.0,1,2022-03-09
"RES (Wind, Solar, Biomass & Others)",124.0,90.0,170.0,5.0,0.0,390.0,9,2022-03-09
Total,991.0,1561.0,980.0,661.0,56.0,4250.0,100,2022-03-09
Total,17046.0,29615.0,15355.0,3821.0,796.0,66633.0,100,
Coal,623.0,1350.0,557.0,627.0,11.0,3169.0,76,2022-03-10
Lignite,28.0,16.0,34.0,0.0,0.0,77.0,2,2022-03-10
Hydro,144.0,39.0,88.0,32.0,11.0,313.0,8,2022-03-10
Nuclear,32.0,33.0,7.0,0.0,0.0,135.0,3,2022-03-10
"Gas, Naptha & Diesel",8.0,14.0,8.0,0.0,30.0,60.0,1,2022-03-10
"RES (Wind, Solar, Biomass & Others)",128.0,86.0,186.0,5.0,0.0,405.0,10,2022-03-10
Total,963.0,1538.0,943.0,664.0,52.0,4160.0,100,2022-03-10
Total,16916.0,28098.0,14295.0,3881.0,546.0,63736.0,100,
Coal,638.0,1404.0,588.0,636.0,12.0,3278.0,76,2022-03-11
Lignite,31.0,13.0,30.0,0.0,0.0,74.0,2,2022-03-11
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-11
"Gas, Naptha & Diesel",9.0,12.0,9.0,0.0,31.0,60.0,1,2022-03-11
"RES (Wind, Solar, Biomass & Others)",148.0,90.0,183.0,6.0,0.0,428.0,10,2022-03-11
Total,1016.0,1600.0,983.0,676.0,53.0,4328.0,100,2022-03-11
Total,18156.0,28130.0,16105.0,4421.0,546.0,67358.0,100,
Coal,632.0,1422.0,619.0,625.0,13.0,3311.0,74,2022-03-12
Lignite,28.0,13.0,30.0,0.0,0.0,71.0,2,2022-03-12
Hydro,188.0,83.0,117.0,41.0,10.0,438.0,10,2022-03-12
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-12
"Gas, Naptha & Diesel",16.0,14.0,8.0,0.0,31.0,68.0,2,2022-03-12
"RES (Wind, Solar, Biomass & Others)",152.0,121.0,165.0,5.0,0.0,443.0,10,2022-03-12
Total,1048.0,1685.0,1008.0,671.0,54.0,4466.0,100,2022-03-12
Total,18156.0,31583.0,15625.0,5131.0,546.0,71040.0,100,
Coal,591.0,1285.0,570.0,580.0,12.0,3038.0,73,2022-03-13
Lignite,28.0,12.0,34.0,0.0,0.0,74.0,2,2022-03-13
Hydro,190.0,43.0,90.0,42.0,9.0,375.0,9,2022-03-13
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-13
"Gas, Naptha & Diesel",14.0,15.0,8.0,0.0,30.0,67.0,2,2022-03-13
"RES (Wind, Solar, Biomass & Others)",152.0,130.0,179.0,5.0,0.0,467.0,1,2022-03-13
Total,1006.0,1518.0,952.0,628.0,51.0,4155.0,100,2022-03-13
Total,17106.0,27043.0,15875.0,5249.0,546.0,65818.0,100,
Coal,588.0,1305.0,555.0,585.0,13.0,3046.0,72,2022-03-14
Lignite,28.0,11.0,35.0,0.0,0.0,74.0,2,2022-03-14
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-14
"Gas, Naptha & Diesel",14.0,18.0,9.0,0.0,31.0,72.0,2,2022-03-14
"RES (Wind, Solar, Biomass & Others)",163.0,139.0,212.0,5.0,0.0,520.0,12,2022-03-14
Total,1019.0,1542.0,962.0,635.0,55.0,4214.0,100,2022-03-14
Total,18091.0,28113.0,15875.0,4499.0,546.0,67123.0,100,
Coal,605.0,1346.0,551.0,589.0,12.0,3103.0,73,2022-03-15
Lignite,26.0,12.0,35.0,0.0,0.0,73.0,2,2022-03-15
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-15
"Gas, Naptha & Diesel",14.0,18.0,9.0,0.0,30.0,71.0,2,2022-03-15
"RES (Wind, Solar, Biomass & Others)",135.0,134.0,218.0,5.0,0.0,493.0,12,2022-03-15
Total,1000.0,1579.0,975.0,644.0,53.0,4251.0,100,2022-03-15
Total,17244.0,27912.0,14965.0,4249.0,396.0,64765.0,100,
Coal,628.0,1404.0,604.0,605.0,13.0,3253.0,74,2022-03-16
Lignite,26.0,12.0,35.0,0.0,0.0,72.0,2,2022-03-16
Hydro,177.0,66.0,107.0,60.0,10.0,420.0,10,2022-03-16
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,3,2022-03-16
"Gas, Naptha & Diesel",15.0,19.0,9.0,0.0,30.0,73.0,2,2022-03-16
Total,1008.0,1650.0,1036.0,670.0,54.0,4418.0,100,2022-03-16
Total,17494.0,28680.0,13875.0,4139.0,531.0,64718.0,100,
Coal,642.0,1398.0,625.0,611.0,13.0,3290.0,74,2022-03-17
Lignite,28.0,10.0,34.0,0.0,0.0,71.0,2,2022-03-17
Hydro,170.0,75.0,117.0,49.0,10.0,421.0,10,2022-03-17
Nuclear,32.0,33.0,70.0,0.0,0.0,134.0,3,2022-03-17
"Gas, Naptha & Diesel",16.0,18.0,9.0,0.0,29.0,72.0,2,2022-03-17
"RES (Wind, Solar, Biomass & Others)",155.0,113.0,168.0,5.0,0.0,441.0,10,2022-03-17
Total,16640.0,26683.0,12257.0,4149.0,531.0,60259.0,100,2022-03-17
Coal,639.0,1412.0,660.0,609.0,13.0,3334.0,75,2022-03-18
Lignite,28.0,9.0,36.0,0.0,0.0,73.0,2,2022-03-18
Hydro,168.0,74.0,106.0,46.0,10.0,404.0,9,2022-03-18
Nuclear,32.0,33.0,70.0,0.0,0.0,134.0,3,2022-03-18
"Gas, Naptha & Diesel",15.0,17.0,9.0,0.0,28.0,69.0,2,2022-03-18
"RES (Wind, Solar, Biomass & Others)",153.0,123.0,154.0,5.0,0.0,435.0,10,2022-03-18
Total,1035.0,1668.0,1034.0,660.0,52.0,4448.0,100,2022-03-18
Total,17705.0,26848.0,12337.0,4569.0,531.0,61990.0,100,
Coal,641.0,1436.0,662.0,618.0,13.0,3372.0,76,2022-03-19
Lignite,19.0,11.0,35.0,0.0,0.0,65.0,1,2022-03-19
Hydro,165.0,61.0,99.0,45.0,10.0,379.0,9,2022-03-19
Nuclear,32.0,33.0,70.0,0.0,0.0,134.0,3,2022-03-19
"Gas, Naptha & Diesel",15.0,15.0,9.0,0.0,29.0,68.0,2,2022-03-19
"RES (Wind, Solar, Biomass & Others)",145.0,103.0,160.0,5.0,0.0,413.0,9,2022-03-19
Total,1018.0,1659.0,1033.0,669.0,52.0,4431.0,100,2022-03-19
Total,17244.0,25190.0,11355.0,4399.0,531.0,58719.0,100,
Coal,636.0,1456.0,671.0,608.0,13.0,3384.0,77,2022-03-20
Lignite,19.0,9.0,36.0,0.0,0.0,65.0,1,2022-03-20
Hydro,160.0,62.0,109.0,54.0,9.0,394.0,9,2022-03-20
Nuclear,32.0,33.0,51.0,0.0,0.0,116.0,3,2022-03-20
"Gas, Naptha & Diesel",20.0,19.0,8.0,0.0,28.0,76.0,2,2022-03-20
"RES (Wind, Solar, Biomass & Others)",129.0,84.0,160.0,5.0,0.0,378.0,9,2022-03-20
Total,996.0,1663.0,1036.0,667.0,51.0,4413.0,100,2022-03-20
Total,14309.0,24378.0,12590.0,3884.0,531.0,55692.0,100,
Coal,625.0,1447.0,674.0,591.0,13.0,3351.0,77,2022-03-21
Lignite,19.0,9.0,43.0,0.0,0.0,72.0,2,2022-03-21
Hydro,146.0,53.0,102.0,58.0,12.0,370.0,8,2022-03-21
Nuclear,32.0,33.0,47.0,0.0,0.0,112.0,3,2022-03-21
"Gas, Naptha & Diesel",24.0,20.0,9.0,0.0,29.0,82.0,2,2022-03-21
"RES (Wind, Solar, Biomass & Others)",135.0,85.0,156.0,5.0,0.0,381.0,9,2022-03-21
Total,981.0,1648.0,1032.0,653.0,54.0,4368.0,100,2022-03-21
Total,14490.0,25088.0,12240.0,4504.0,506.0,56827.0,100,
Coal,652.0,1388.0,634.0,597.0,12.0,3283.0,76,2022-03-22
Lignite,20.0,8.0,45.0,0.0,0.0,73.0,2,2022-03-22
Nuclear,32.0,33.0,47.0,0.0,0.0,112.0,3,2022-03-22
"Gas, Naptha & Diesel",19.0,17.0,9.0,0.0,30.0,74.0,2,2022-03-22
"RES (Wind, Solar, Biomass & Others)",141.0,113.0,165.0,5.0,0.0,425.0,10,2022-03-22
Total,1017.0,1601.0,989.0,644.0,53.0,4304.0,100,2022-03-22
Total,13957.0,25053.0,12920.0,5504.0,531.0,57965.0,100,
Coal,679.0,1405.0,659.0,610.0,12.0,3365.0,75,2022-03-23
Lignite,19.0,11.0,45.0,0.0,0.0,76.0,2,2022-03-23
Hydro,159.0,58.0,88.0,43.0,10.0,359.0,8,2022-03-23
Nuclear,32.0,33.0,47.0,0.0,0.0,112.0,3,2022-03-23
"Gas, Naptha & Diesel",20.0,18.0,8.0,0.0,30.0,76.0,2,2022-03-23
"RES (Wind, Solar, Biomass & Others)",153.0,150.0,165.0,5.0,0.0,474.0,1,2022-03-23
Total,1062.0,1676.0,1012.0,658.0,52.0,4461.0,100,2022-03-23
Total,13733.0,25438.0,12720.0,4909.0,396.0,57196.0,100,
Coal,690.0,1414.0,668.0,599.0,13.0,3382.0,75,2022-03-24
Lignite,18.0,12.0,43.0,0.0,0.0,74.0,2,2022-03-24
Hydro,171.0,64.0,100.0,50.0,11.0,395.0,9,2022-03-24
"Gas, Naptha & Diesel",24.0,16.0,9.0,0.0,29.0,78.0,2,2022-03-24
Total,1082.0,1704.0,1043.0,654.0,53.0,4536.0,100,2022-03-24
Total,13423.0,25363.0,12800.0,4709.0,546.0,56841.0,100,
Coal,701.0,1446.0,657.0,610.0,13.0,3427.0,75,2022-03-25
Lignite,19.0,13.0,43.0,0.0,0.0,75.0,2,2022-03-25
Hydro,177.0,57.0,99.0,56.0,12.0,401.0,9,2022-03-25
"Gas, Naptha & Diesel",22.0,18.0,9.0,0.0,29.0,78.0,2,2022-03-25
"RES (Wind, Solar, Biomass & Others)",151.0,124.0,184.0,5.0,0.0,465.0,10,2022-03-25
Total,1104.0,1691.0,1039.0,671.0,54.0,4558.0,100,2022-03-25
Total,12184.0,25220.0,12380.0,4369.0,546.0,54698.0,100,
Coal,711.0,1440.0,667.0,601.0,16.0,3435.0,75,2022-03-26
Lignite,20.0,13.0,42.0,0.0,0.0,75.0,2,2022-03-26
Hydro,179.0,65.0,97.0,59.0,16.0,417.0,9,2022-03-26
"Gas, Naptha & Diesel",22.0,18.0,8.0,0.0,30.0,78.0,2,2022-03-26
"RES (Wind, Solar, Biomass & Others)",145.0,111.0,192.0,5.0,0.0,453.0,10,2022-03-26
Total,1109.0,1681.0,1053.0,665.0,62.0,4570.0,100,2022-03-26
Total,12549.0,24520.0,11290.0,4219.0,571.0,53148.0,100,
Coal,735.0,1439.0,663.0,603.0,12.0,3452.0,76,2022-03-27
Lignite,18.0,12.0,49.0,0.0,0.0,79.0,2,2022-03-27
Hydro,172.0,51.0,90.0,57.0,20.0,391.0,9,2022-03-27
Nuclear,32.0,33.0,47.0,0.0,0.0,112.0,2,2022-03-27
"Gas, Naptha & Diesel",20.0,7.0,8.0,0.0,27.0,62.0,1,2022-03-27
"RES (Wind, Solar, Biomass & Others)",147.0,115.0,184.0,5.0,0.0,451.0,10,2022-03-27
Total,1125.0,1657.0,1041.0,665.0,59.0,4547.0,100,2022-03-27
Total,12784.0,27062.0,12550.0,4964.0,571.0,57930.0,100,
Coal,716.0,1428.0,650.0,605.0,15.0,3414.0,76,2022-03-28
"Gas, Naptha & Diesel",21.0,6.0,9.0,0.0,29.0,66.0,1,2022-03-28
"RES (Wind, Solar, Biomass & Others)",157.0,104.0,170.0,5.0,0.0,436.0,10,2022-03-28
Total,1120.0,1632.0,1001.0,669.0,67.0,4489.0,100,2022-03-28
Total,13029.0,27887.0,13550.0,3494.0,571.0,58530.0,100,
Coal,697.0,1359.0,612.0,604.0,14.0,3286.0,75,2022-03-29
Lignite,17.0,11.0,50.0,0.0,0.0,78.0,2,2022-03-29
Hydro,178.0,48.0,76.0,78.0,17.0,396.0,9,2022-03-29
"Gas, Naptha & Diesel",21.0,7.0,9.0,0.0,29.0,65.0,1,2022-03-29
"RES (Wind, Solar, Biomass & Others)",158.0,94.0,160.0,5.0,0.0,416.0,10,2022-03-29
Total,1103.0,1550.0,952.0,687.0,60.0,4352.0,100,2022-03-29
Total,12249.0,25582.0,12730.0,3808.0,605.0,54973.0,100,
Coal,221.0,1416.0,631.0,619.0,15.0,3408.0,75,2022-03-30
Lignite,17.0,11.0,50.0,0.0,0.0,79.0,2,2022-03-30
Hydro,173.0,64.0,98.0,93.0,21.0,448.0,10,2022-03-30
