Source,NR,WR,SR,ER,NER,All India,% Share,Date
Nuclear,33.0,21.0,69.0,0.0,0.0,123.0,3,2022-02-05
"Gas, Naptha & Diesel",15.0,15.0,10.0,0.0,30.0,70.0,2,2022-02-05
"RES (Wind, Solar, Biomass & Others)",107.0,85.0,166.0,5.0,0.0,363.0,9,2022-02-05
Total,919.0,1496.0,978.0,619.0,55.0,4067.0,100,2022-02-05
Total,16391.0,28568.0,14335.0,5781.0,380.0,65455.0,100,
Coal,617.0,1290.0,579.0,566.0,14.0,3066.0,76,2022-02-06
Lignite,27.0,10.0,49.0,0.0,0.0,86.0,2,2022-02-06
Hydro,102.0,43.0,90.0,29.0,9.0,274.0,7,2022-02-06
Nuclear,33.0,21.0,70.0,0.0,0.0,124.0,3,2022-02-06
"Gas, Naptha & Diesel",15.0,17.0,10.0,0.0,29.0,71.0,2,2022-02-06
"RES (Wind, Solar, Biomass & Others)",109.0,99.0,179.0,5.0,0.0,392.0,10,2022-02-06
Total,903.0,1481.0,976.0,600.0,53.0,4012.0,100,2022-02-06
Total,16826.0,29490.0,14738.0,5781.0,380.0,67215.0,100,
Coal,602.0,1275.0,576.0,566.0,13.0,3032.0,76,2022-02-07
Lignite,25.0,10.0,49.0,0.0,0.0,84.0,2,2022-02-07
Nuclear,33.0,21.0,69.0,0.0,0.0,123.0,3,2022-02-07
"Gas, Naptha & Diesel",13.0,17.0,9.0,0.0,29.0,68.0,2,2022-02-07
Total,893.0,1490.0,972.0,597.0,51.0,4004.0,100,2022-02-07
Total,16841.0,31400.0,15978.0,4731.0,708.0,69658.0,100,
Coal,602.0,1275.0,556.0,575.0,14.0,3021.0,75,2022-02-08
Lignite,26.0,11.0,48.0,0.0,0.0,85.0,2,2022-02-08
Hydro,102.0,30.0,87.0,26.0,9.0,254.0,6,2022-02-08
Nuclear,33.0,21.0,69.0,0.0,0.0,124.0,3,2022-02-08
"Gas, Naptha & Diesel",14.0,12.0,9.0,0.0,28.0,63.0,2,2022-02-08
"RES (Wind, Solar, Biomass & Others)",116.0,139.0,197.0,5.0,0.0,458.0,1,2022-02-08
Total,894.0,1488.0,967.0,606.0,51.0,4005.0,100,2022-02-08
Total,17711.0,30605.0,14685.0,4731.0,345.0,68077.0,100,
Coal,618.0,1264.0,561.0,595.0,13.0,3052.0,7,2022-02-09
Lignite,23.0,12.0,45.0,0.0,0.0,79.0,2,2022-02-09
Hydro,107.0,41.0,92.0,27.0,9.0,275.0,7,2022-02-09
Nuclear,33.0,21.0,69.0,0.0,0.0,124.0,3,2022-02-09
"Gas, Naptha & Diesel",12.0,10.0,8.0,0.0,26.0,56.0,1,2022-02-09
"RES (Wind, Solar, Biomass & Others)",121.0,84.0,181.0,5.0,0.0,392.0,10,2022-02-09
Total,914.0,1432.0,956.0,627.0,48.0,3977.0,100,2022-02-09
Total,18075.0,31523.0,15495.0,5231.0,345.0,70669.0,100,
Coal,582.0,1251.0,535.0,587.0,13.0,2969.0,77,2022-02-10
Lignite,22.0,13.0,44.0,0.0,0.0,80.0,2,2022-02-10
Hydro,104.0,34.0,74.0,27.0,8.0,247.0,6,2022-02-10
Nuclear,33.0,21.0,69.0,0.0,0.0,124.0,3,2022-02-10
"Gas, Naptha & Diesel",12.0,1.0,9.0,0.0,30.0,62.0,2,2022-02-10
"RES (Wind, Solar, Biomass & Others)",121.0,83.0,181.0,5.0,0.0,391.0,10,2022-02-10
Total,874.0,1415.0,912.0,620.0,51.0,3873.0,100,2022-02-10
Total,17400.0,29587.0,15395.0,5031.0,435.0,67848.0,100,
Coal,613.0,1273.0,556.0,582.0,14.0,3039.0,76,2022-02-11
Lignite,23.0,14.0,44.0,0.0,0.0,80.0,2,2022-02-11
Hydro,105.0,40.0,89.0,27.0,8.0,270.0,7,2022-02-11
Nuclear,33.0,21.0,69.0,0.0,0.0,123.0,3,2022-02-11
"Gas, Naptha & Diesel",13.0,13.0,10.0,0.0,29.0,65.0,2,2022-02-11
"RES (Wind, Solar, Biomass & Others)",122.0,92.0,186.0,5.0,0.0,405.0,10,2022-02-11
Total,909.0,1454.0,953.0,615.0,52.0,3983.0,100,2022-02-11
Total,16830.0,28577.0,15055.0,6026.0,435.0,66923.0,100,
Coal,617.0,1315.0,559.0,589.0,14.0,3095.0,77,2022-02-12
Lignite,24.0,14.0,44.0,0.0,0.0,82.0,2,2022-02-12
Hydro,108.0,43.0,100.0,26.0,8.0,286.0,7,2022-02-12
Nuclear,33.0,21.0,67.0,0.0,0.0,121.0,3,2022-02-12
